"#","פריט","שם פריט","מחיר מכירה","מלאי","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX"
"1730","3468335506630","TL JACKET BLACK","429.00","","","","","",""
"1731","3468335506647","TL JACKET BLACK","429.00","12","","12","","",""
"1732","3468335506654","TL JACKET BLACK","429.00","","","","","",""
"1733","3468335506661","TL JACKET BLACK","429.00","","","","","",""
"1734","3468335506685","TL TEAM PARKA","499.00","","","","","",""
"1735","3468335506692","TL TEAM PARKA","520.00","","-2","2","","",""
"1736","3468335506708","TL TEAM PARKA","520.00","3","1","2","","",""
"1737","3468335506715","TL TEAM PARKA","520.00","","","","","",""
"1738","3468335506722","TL TEAM PARKA","520.00","","","","","",""
"1739","3468335506739","TL TEAM PARKA","520.00","","","","","",""
"1740","3468335506746","TL TEAM PARKA","499.00","","","","","",""
"1741","3468335506753","TL TEAM PARKA","499.00","","","","","",""
"1742","3468335506760","JR TL BERMUDA R","119.90","1","","","1","",""
"1743","3468335506777","JR TL BERMUDA R","119.90","1","","","1","",""
"1744","3468335506784","JR TL BERMUDA R","119.90","1","","","1","",""
"1745","3468335506791","JR TL BERMUDA R","119.90","1","","","1","",""
"1746","3468335506807","JR TL BERMUDA R","119.90","1","","","1","",""
