,פריט,שם פריט,מלאי,מלאי,מלאי,מלאי,מלאי,מלאי
257,3468335506487,TL KNITTED POLY PANT-ROYAL,1,0,1,0,0,0
258,3468335506494,TL KNITTED POLY PANT-ROYAL,1,0,1,0,0,0
259,3468335506500,TL KNITTED POLY PANT-ROYAL,1,0,1,0,0,0
260,3468335506517,TL KNITTED POLY PANT-ROYAL,1,0,1,0,0,0
261,3468335506647,TL JACKET BLACK-ASPHALT,12,0,0,12,0,0
262,3468335506692,TL TEAM PARKA,2,0,0,2,0,0
263,3468335506708,TL TEAM PARKA,3,1,0,2,0,0
264,3468335506760,JR TL BERMUDA RED,1,0,1,0,0,0
265,3468335506777,JR TL BERMUDA RED,1,0,1,0,0,0
266,3468335506784,JR TL BERMUDA RED,1,0,1,0,0,0
267,3468335506791,JR TL BERMUDA RED,1,0,1,0,0,0
268,3468335506807,JR TL BERMUDA RED,1,0,1,0,0,0
269,3468335506814,JR TL BERMUDA BLACK,1,0,1,0,0,0
270,3468335506821,JR TL BERMUDA BLACK,1,0,1,0,0,0
271,3468335506838,JR TL BERMUDA BLACK,1,0,1,0,0,0
272,3468335506845,JR TL BERMUDA BLACK,1,0,1,0,0,0
273,3468335506852,JR TL BERMUDA BLACK,2,1,1,0,0,0
274,3468335506869,JR TL BERMUDA NAVY,1,1,0,0,0,0
275,3468335506913,JR TL BERMUDA - ROYAL,2,2,0,0,0,0
276,3468335506920,JR TL BERMUDA - ROYAL,1,1,0,0,0,0
277,3468335506937,JR TL BERMUDA - ROYAL,1,1,0,0,0,0
278,3468335506951,JR TL BERMUDA - ROYAL,1,1,0,0,0,0
279,3468335507118,JR TL HOODIE WHITE,2,2,0,0,0,0
280,3468335507125,JR TL HOODIE WHITE,1,0,1,0,0,0
281,3468335507132,JR TL HOODIE WHITE,1,0,1,0,0,0
282,3468335507149,JR TL HOODIE WHITE,1,0,1,0,0,0
283,3468335507156,JR TL HOODIE WHITE,1,0,1,0,0,0
284,3468335507187,JR TL HOODIE RED,1,0,1,0,0,0
285,3468335507200,JR TL HOODIE RED,1,0,1,0,0,0
286,3468335507217,JR TL HOODIE,1,0,1,0,0,0
287,3468335507231,JR TL HOODIE,1,0,1,0,0,0
288,3468335507248,JR TL HOODIE,1,0,1,0,0,0
289,3468335507255,JR TL HOODIE,1,0,1,0,0,0
290,3468335507262,JR TL HOODIE MEDIUM GREY MELANGE,1,0,1,0,0,0
291,3468335507279,JR TL HOODIE MEDIUM GREY MELANGE,1,1,0,0,0,0
292,3468335507286,JR TL HOODIE MEDIUM GREY MELANGE,1,0,1,0,0,0
293,3468335507293,JR TL HOODIE MEDIUM GREY MELANGE,1,1,0,0,0,0
294,3468335507309,JR TL HOODIE MEDIUM GREY MELANGE,1,0,1,0,0,0
295,3468335507316,JR TL HOODIE NAVY,1,0,1,0,0,0
296,3468335507323,JR TL HOODIE NAVY,1,0,1,0,0,0
297,3468335507347,JR TL HOODIE NAVY,1,0,1,0,0,0
298,3468335507354,JR TL HOODIE NAVY,1,0,1,0,0,0
299,3468335507538,JR TL S/S TEE-NAVY,5,5,0,0,0,0
300,3468335507545,JR TL S/S TEE-NAVY,8,8,0,0,0,0
301,3468335514093,40W SOLID SWIM PRO RED-WHITE,2,2,0,0,0,0
302,3468335514109,W SOLID SWIM PRO RED-WHITE,12,0,12,0,0,0
303,3468335514116,W SOLID SWIM PRO RED-WHITE,4,4,0,0,0,0
304,3468335514123,W SOLID SWIM PRO RED-WHITE,7,2,5,0,0,0
305,3468335514246,W SOLID SWIM PRO ROYAL/WHITE,2,2,0,0,0,0
306,3468335514376,W SOLID SWIM PRO NAVY-WHITE,8,3,5,0,0,0
307,3468335514635,W SOLID LIGHT TECH HIGH,4,4,0,0,0,0
308,3468335514642,42W SOLID LIGHT TECH HIGH,10,10,0,0,0,0
309,3468335514659,W SOLID LIGHT TECH HIGH,5,5,0,0,0,0
310,3468335514727,W SOLID LIGHT TECH HIGH,10,10,0,0,0,0
311,3468335514734,W SOLID LIGHT TECH HIGH,15,15,0,0,0,0
312,3468335514741,W SOLID LIGHT TECH HIGH,2,2,0,0,0,0
313,3468335514796,W SOLID LIGHT TECH HIGH,1,1,0,0,0,0
314,3468335514802,W SOLID LIGHT TECH HIGH,2,2,0,0,0,0
315,3468335514819,40W SOLID LIGHT TECH HIGH,8,3,5,0,0,0
316,3468335514826,W SOLID LIGHT TECH HIGH,9,9,0,0,0,0
317,3468335514833,W SOLID LIGHT TECH HIGH,4,4,0,0,0,0
318,3468335514888,W SOLID LIGHT TECH HIGH,9,9,0,0,0,0
319,3468335514895,W SOLID LIGHT TECH HIGH,1,1,0,0,0,0
320,3468335514901,W SOLID LIGHT TECH HIGH,1,1,0,0,0,0
321,3468335514918,W SOLID LIGHT TECH HIGH,6,6,0,0,0,0
322,3468335514925,W SOLID LIGHT TECH HIGH,6,6,0,0,0,0
323,3468335515274,W SOLID BOTTOM NAVY-WHITE,21,19,2,0,0,0
324,3468335515694,W SOLID WATERPOLO ONE PIECE RED-WHITE,3,3,0,0,0,0
325,3468335515700,W SOLID WATERPOLO ONE PIECE RED-WHITE,1,1,0,0,0,0
