קוד דגם,צבע,מידה,ברקוד
AR004760780,780,32,3468337959120
AR004760780,780,34,3468337959137
AR004760780,780,36,3468337959144
AR004760780,780,38,3468337959151
AR004760780,780,40,3468337959168
AR004760780,780,42,3468337959175
AR004760780,780,44,3468337959182
AR004760780,780,46,3468337959199
AR004760780,780,48,3468337959205
AR004760891,891,32,3468337959212
AR004760891,891,34,3468337959229
AR004760891,891,36,3468337959236
AR004760891,891,38,3468337959243
AR004760891,891,40,3468337959250
AR004760891,891,42,3468337959267
AR004760891,891,44,3468337959274
AR004760891,891,46,3468337959281
AR004760891,891,48,3468337959298
AR004760911,911,32,3468336745076
AR004760911,911,34,3468336744543
AR004760911,911,36,3468336743928
AR004760911,911,38,3468336743324
AR004760911,911,40,3468336743454
AR004760911,911,42,3468336742853
AR004760911,911,44,3468336742365
AR004760911,911,46,3468336741764
AR004760911,911,48,3468336745533
AR004760970,970,32,3468337959304
AR004760970,970,34,3468337959311
AR004760970,970,36,3468337959328
AR004760970,970,38,3468337959335
AR004760970,970,40,3468337959342
AR004760970,970,42,3468337959359
AR004760970,970,44,3468337959366
AR004760970,970,46,3468337959373
AR004760970,970,48,3468337959380
AR004762450,450,10-11,3468336645949
AR004762450,450,1-2,3468336641514
AR004762450,450,12-13,3468336643846
AR004762450,450,14-15,3468336641965
AR004762450,450,2-3,3468336646397
AR004762450,450,4-5,3468336646380
AR004762450,450,6-7,3468336646342
AR004762450,450,8-9,3468336646311
AR004762550,550,10-11,3468336643853
AR004762550,550,1-2,3468336649442
AR004762550,550,12-13,3468336641989
AR004762550,550,14-15,3468336650127
AR004762550,550,2-3,3468336644515
AR004762550,550,4-5,3468336644485
AR004762550,550,6-7,3468336644447
AR004762550,550,8-9,3468336644393
AR004762720,720,10-11,3468336645673
AR004762720,720,1-2,3468336641194
AR004762720,720,12-13,3468336643594
AR004762720,720,14-15,3468336641767
AR004762720,720,2-3,3468336646212
AR004762720,720,4-5,3468336646182
AR004762720,720,6-7,3468336646168
