SKU,Article,EAN,Style,Style Description,Colorway,Colorway Description,Segment,Product Type,Consumer Target,Sizes Overview,Size,Made-In,Taric,Collection Type,Carry Over,SWP EUR,RSP EUR
001198_960_44,001198960,3468337967309,001198,W ARENA ONE BIGLOGO ONE PIECE,960,FRESIA ROSE-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",44,Cambodia,6112419000,Global,Y,22.85714,48
001225_410_L,001225410,3468337116523,001225,W T-SHIRT TEAM,410,RED-WHITE-RED,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",L,China,6109100010,Global,Y,18.09524,38
001225_410_M,001225410,3468337116653,001225,W T-SHIRT TEAM,410,RED-WHITE-RED,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",M,China,6109100010,Global,Y,18.09524,38
001225_410_S,001225410,3468337116417,001225,W T-SHIRT TEAM,410,RED-WHITE-RED,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",S,China,6109100010,Global,Y,18.09524,38
001225_410_XL,001225410,3468337115311,001225,W T-SHIRT TEAM,410,RED-WHITE-RED,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",XL,China,6109100010,Global,Y,18.09524,38
001225_410_XS,001225410,3468337116615,001225,W T-SHIRT TEAM,410,RED-WHITE-RED,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",XS,China,6109100010,Global,Y,18.09524,38
001225_410_XXL,001225410,3468337115748,001225,W T-SHIRT TEAM,410,RED-WHITE-RED,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",XXL,China,6109100010,Global,Y,18.09524,38
001225_510_L,001225510,3468337116127,001225,W T-SHIRT TEAM,510,BLACK-WHITE-BLACK,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",L,China,6109100010,Global,Y,18.09524,38
001225_510_M,001225510,3468337116363,001225,W T-SHIRT TEAM,510,BLACK-WHITE-BLACK,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",M,China,6109100010,Global,Y,18.09524,38
001225_510_S,001225510,3468337115892,001225,W T-SHIRT TEAM,510,BLACK-WHITE-BLACK,Apparel,T-shirt,Woman,"XS, S, M, L, XL, XXL",S,China,6109100010,Global,Y,18.09524,38
